Time (ms),GUI.SCRN_NO,GUI.RENC_CLK,GUI.RENC_ACLK,GUI.RENC_SW,Time (ms),LED_CNTRL.LED_OVRRD,LED_CNTRL.XLED_PWM_Mode,LED_CNTRL.YLED_PWM_Mode,LED_CNTRL.ZLED_PWM_Mode,LED_CNTRL.XLED_state,LED_CNTRL.YLED_state,LED_CNTRL.ZLED_state,LED_CNTRL.TLED_OVRRD,LED_CNTRL.TLED_mode,LED_CNTRL.XLED_Brightness,LED_CNTRL.YLED_Brightness,LED_CNTRL.ZLED_Brightness,Time (ms),IMU_X_Raw.XACCEL_raw,IMU_X_Raw.XGYRO_raw,Time (ms),IMU_Y_Raw.YACCEL_raw,IMU_Y_Raw.YGYRO_raw,Time (ms),IMU_Z_Raw.ZACCEL_raw,IMU_Z_Raw.ZGYRO_raw,Time (ms),IMU_Temp.IMU_Temp_Raw,IMU_Temp.IMU_Temp_Processed,Time (ms),IMU_XACCEL_Processed.IMU_XACCEL_Processed,Time (ms),IMU_YACCEL_Processed.IMU_YACCEL_Processed,Time (ms),IMU_ZACCEL_Processed.IMU_ZACCEL_Processed,Time (ms),IMU_XGYRO_Processed.IMU_XGYRO_Processed,Time (ms),IMU_YGYRO_Processed.IMU_YGYRO_Processed,Time (ms),IMU_ZGYRO_Processed.IMU_ZGYRO_Processed,Time (ms),Roll.Roll_Accel,Roll.Roll_Gyro,Roll.Roll_CF,Time (ms),Pitch.Pitch_Accel,Pitch.Pitch_Gyro,Pitch.Pitch_CF,Time (ms),Yaw.Yaw_Accel,Yaw.Yaw_Gyro,Yaw.Yaw_CF
135678.000000,0.000000,0.000000,0.000000,0.000000,135683.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100451.000000,64028.000000,65357.000000,100457.000000,180.000000,65490.000000,100457.000000,15168.000000,24.000000,,,,100457.000000,1.000000,100457.000000,5.000000,100457.000000,997.000000,100462.000000,294.000000,100451.000000,-522.000000,100451.000000,222.000000,116070.000000,0.000000,0.000000,0.000000,116070.000000,0.000000,0.000000,0.000000,116070.000000,0.000000,0.000000,0.000000
135771.000000,0.000000,0.000000,0.000000,0.000000,135777.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100462.000000,64068.000000,65349.000000,100466.000000,192.000000,65506.000000,100466.000000,15252.000000,31.000000,,,,100467.000000,4.000000,100467.000000,6.000000,100467.000000,1002.000000,100469.000000,50.000000,100462.000000,-155.000000,100462.000000,39.000000,116119.000000,0.000000,0.000000,0.000000,116119.000000,0.000000,0.000000,0.000000,116119.000000,0.000000,0.000000,0.000000
135866.000000,0.000000,0.000000,0.000000,0.000000,135874.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100470.000000,64092.000000,65350.000000,100477.000000,176.000000,65498.000000,100477.000000,15192.000000,23.000000,,,,100477.000000,5.000000,100477.000000,5.000000,100477.000000,999.000000,100479.000000,80.000000,100470.000000,333.000000,100470.000000,253.000000,116162.000000,0.000000,0.000000,0.000000,116163.000000,0.000000,0.000000,0.000000,116164.000000,0.000000,0.000000,0.000000
135963.000000,0.000000,0.000000,0.000000,0.000000,135968.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100479.000000,64092.000000,65350.000000,100485.000000,176.000000,65498.000000,100485.000000,15192.000000,23.000000,,,,100485.000000,5.000000,100485.000000,5.000000,100485.000000,999.000000,100490.000000,80.000000,100479.000000,89.000000,100479.000000,8.000000,116213.000000,0.000000,0.000000,0.000000,116213.000000,0.000000,0.000000,0.000000,116213.000000,0.000000,0.000000,0.000000
136057.000000,0.000000,0.000000,0.000000,0.000000,136062.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100491.000000,64244.000000,65350.000000,100496.000000,228.000000,65504.000000,100496.000000,15168.000000,21.000000,,,,100496.000000,15.000000,100496.000000,8.000000,100496.000000,997.000000,100500.000000,80.000000,100490.000000,89.000000,100490.000000,8.000000,116260.000000,0.000000,0.000000,0.000000,116261.000000,0.000000,0.000000,0.000000,116261.000000,0.000000,0.000000,0.000000
136150.000000,0.000000,0.000000,0.000000,0.000000,136157.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100500.000000,64232.000000,65351.000000,100506.000000,116.000000,65506.000000,100506.000000,15324.000000,24.000000,,,,100506.000000,14.000000,100506.000000,2.000000,100506.000000,1007.000000,100508.000000,111.000000,100500.000000,272.000000,100500.000000,-53.000000,116308.000000,0.000000,0.000000,0.000000,116308.000000,0.000000,0.000000,0.000000,116308.000000,0.000000,0.000000,0.000000
136246.000000,0.000000,0.000000,0.000000,0.000000,136252.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100508.000000,64236.000000,65348.000000,100516.000000,96.000000,65493.000000,100516.000000,15252.000000,18.000000,,,,100516.000000,14.000000,100516.000000,0.000000,100516.000000,1002.000000,100517.000000,19.000000,100508.000000,333.000000,100508.000000,39.000000,116353.000000,0.000000,0.000000,0.000000,116353.000000,0.000000,0.000000,0.000000,116355.000000,0.000000,0.000000,0.000000
136341.000000,0.000000,0.000000,0.000000,0.000000,136347.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100517.000000,64236.000000,65348.000000,100524.000000,96.000000,65493.000000,100524.000000,15252.000000,18.000000,,,,100524.000000,14.000000,100524.000000,0.000000,100524.000000,1002.000000,100527.000000,19.000000,100517.000000,-64.000000,100517.000000,-144.000000,116405.000000,0.000000,0.000000,0.000000,116405.000000,0.000000,0.000000,0.000000,116405.000000,0.000000,0.000000,0.000000
136435.000000,0.000000,0.000000,0.000000,0.000000,136442.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100533.000000,64200.000000,65345.000000,100533.000000,65488.000000,65489.000000,100533.000000,15284.000000,22.000000,,,,100534.000000,12.000000,100536.000000,-7.000000,100536.000000,1004.000000,100536.000000,-73.000000,100527.000000,-64.000000,100527.000000,-144.000000,116448.000000,0.000000,0.000000,0.000000,116448.000000,0.000000,0.000000,0.000000,116450.000000,0.000000,0.000000,0.000000
136532.000000,0.000000,0.000000,0.000000,0.000000,136537.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100541.000000,64124.000000,65342.000000,100543.000000,65520.000000,65485.000000,100543.000000,15140.000000,21.000000,,,,100543.000000,7.000000,100543.000000,-5.000000,100543.000000,996.000000,100548.000000,-164.000000,100536.000000,-186.000000,100536.000000,-22.000000,116501.000000,0.000000,0.000000,0.000000,116501.000000,0.000000,0.000000,0.000000,116501.000000,0.000000,0.000000,0.000000
