Time (ms),GUI.SCRN_NO,Time (ms),GUI.RENC_CLK,Time (ms),GUI.RENC_ACLK,Time (ms),GUI.RENC_SW,Time (ms),LED_CNTRL.LED_OVRRD,Time (ms),LED_CNTRL.XLED_PWM_Mode,Time (ms),LED_CNTRL.YLED_PWM_Mode,Time (ms),LED_CNTRL.ZLED_PWM_Mode,Time (ms),LED_CNTRL.XLED_state,Time (ms),LED_CNTRL.YLED_state,Time (ms),LED_CNTRL.ZLED_state,Time (ms),LED_CNTRL.TLED_OVRRD,Time (ms),LED_CNTRL.TLED_mode,Time (ms),LED_CNTRL.XLED_Brightness,Time (ms),LED_CNTRL.YLED_Brightness,Time (ms),LED_CNTRL.ZLED_Brightness,Time (ms),IMU_X_Raw.XACCEL_raw,Time (ms),IMU_X_Raw.XGYRO_raw,Time (ms),IMU_Y_Raw.YACCEL_raw,Time (ms),IMU_Y_Raw.YGYRO_raw,Time (ms),IMU_Z_Raw.ZACCEL_raw,Time (ms),IMU_Z_Raw.ZGYRO_raw,Time (ms),IMU_Temp.IMU_Temp_Raw,Time (ms),IMU_Temp.IMU_Temp_Processed,Time (ms),IMU_XACCEL_Processed.IMU_XACCEL_Processed,Time (ms),IMU_YACCEL_Processed.IMU_YACCEL_Processed,Time (ms),IMU_ZACCEL_Processed.IMU_ZACCEL_Processed,Time (ms),IMU_XGYRO_Processed.IMU_XGYRO_Processed,Time (ms),IMU_YGYRO_Processed.IMU_YGYRO_Processed,Time (ms),IMU_ZGYRO_Processed.IMU_ZGYRO_Processed,Time (ms),Roll.Roll_Accel,Time (ms),Roll.Roll_Gyro,Time (ms),Roll.Roll_CF,Time (ms),Pitch.Pitch_Accel,Time (ms),Pitch.Pitch_Gyro,Time (ms),Pitch.Pitch_CF,Time (ms),Yaw.Yaw_Accel,Time (ms),Yaw.Yaw_Gyro,Time (ms),Yaw.Yaw_CF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198783.000000,64036.000000,198783.000000,65348.000000,198790.000000,204.000000,198790.000000,65500.000000,198790.000000,15088.000000,198790.000000,18.000000,,,,,198780.000000,-3.000000,198780.000000,4.000000,198780.000000,1001.000000,198783.000000,-195.000000,198783.000000,-33.000000,198783.000000,100.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198792.000000,64040.000000,198792.000000,65350.000000,198799.000000,240.000000,198799.000000,65507.000000,198799.000000,15220.000000,198799.000000,26.000000,,,,,198790.000000,2.000000,198790.000000,7.000000,198791.000000,992.000000,198792.000000,19.000000,198792.000000,150.000000,198792.000000,-144.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198802.000000,64056.000000,198802.000000,65357.000000,198808.000000,212.000000,198808.000000,65514.000000,198808.000000,15200.000000,198808.000000,21.000000,,,,,198799.000000,2.000000,198800.000000,9.000000,198800.000000,1000.000000,198802.000000,80.000000,198802.000000,363.000000,198802.000000,100.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198812.000000,64112.000000,198812.000000,65349.000000,198817.000000,100.000000,198817.000000,65498.000000,198817.000000,15284.000000,198817.000000,22.000000,,,,,198808.000000,3.000000,198808.000000,7.000000,198808.000000,999.000000,198811.000000,294.000000,198811.000000,577.000000,198811.000000,-53.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198822.000000,64112.000000,198822.000000,65349.000000,198827.000000,100.000000,198827.000000,65498.000000,198827.000000,15284.000000,198827.000000,22.000000,,,,,198817.000000,7.000000,198817.000000,1.000000,198817.000000,1004.000000,198822.000000,50.000000,198822.000000,89.000000,198822.000000,-22.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198831.000000,64092.000000,198831.000000,65342.000000,198837.000000,108.000000,198837.000000,65499.000000,198837.000000,15372.000000,198837.000000,27.000000,,,,,198827.000000,7.000000,198827.000000,1.000000,198827.000000,1004.000000,198831.000000,50.000000,198831.000000,89.000000,198831.000000,-22.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198840.000000,64172.000000,198840.000000,65344.000000,198847.000000,36.000000,198847.000000,65485.000000,198847.000000,15140.000000,198847.000000,17.000000,,,,,198837.000000,5.000000,198837.000000,1.000000,198837.000000,1010.000000,198839.000000,-164.000000,198840.000000,119.000000,198840.000000,130.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198856.000000,64004.000000,198856.000000,65339.000000,198856.000000,0.000000,198856.000000,65480.000000,198856.000000,15288.000000,198856.000000,25.000000,,,,,198847.000000,10.000000,198847.000000,-3.000000,198847.000000,996.000000,198850.000000,-103.000000,198850.000000,-308.000000,198850.000000,-175.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198862.000000,64004.000000,198862.000000,65339.000000,198867.000000,0.000000,198867.000000,65480.000000,198867.000000,15288.000000,198867.000000,25.000000,,,,,198856.000000,0.000000,198858.000000,-5.000000,198858.000000,1005.000000,198859.000000,-256.000000,198859.000000,-461.000000,198859.000000,69.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198868.000000,64064.000000,198868.000000,65337.000000,198876.000000,104.000000,198876.000000,65480.000000,198876.000000,15156.000000,198876.000000,24.000000,,,,,198867.000000,0.000000,198867.000000,-5.000000,198867.000000,1005.000000,198868.000000,-256.000000,198868.000000,-461.000000,198868.000000,69.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198878.000000,64152.000000,198878.000000,65342.000000,198884.000000,168.000000,198884.000000,65486.000000,198884.000000,15276.000000,198884.000000,23.000000,,,,,198876.000000,4.000000,198876.000000,1.000000,198876.000000,997.000000,198878.000000,-317.000000,198878.000000,-461.000000,198878.000000,39.000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198889.000000,64020.000000,198889.000000,65348.000000,198894.000000,180.000000,198894.000000,65497.000000,198894.000000,15164.000000,198894.000000,29.000000,,,,,198885.000000,9.000000,198885.000000,5.000000,198885.000000,1004.000000,198889.000000,-164.000000,198889.000000,-277.000000,198889.000000,8.000000,,,,,,,,,,,,,,,,,,
