FID,Data Bytes,Direction,Checksum,Time (ms)
12,[  255  :  255  :  255  :  162  ],Rx,PASSED,3143
3,[  255  :  158  :  251  :  0  ],Rx,PASSED,3161
4,[  255  :  230  :  254  :  216  ],Rx,PASSED,3177
5,[  0  :  12  :  60  :  132  ],Rx,PASSED,3191
7,[  255  :  255  :  255  :  245  ],Rx,PASSED,3200
8,[  255  :  255  :  255  :  238  ],Rx,PASSED,3217
9,[  0  :  0  :  3  :  228  ],Rx,PASSED,3235
10,[  255  :  255  :  255  :  163  ],Rx,PASSED,3243
11,[  255  :  255  :  254  :  57  ],Rx,PASSED,3260
12,[  0  :  0  :  0  :  28  ],Rx,PASSED,3274
3,[  255  :  159  :  250  :  76  ],Rx,PASSED,3290
4,[  255  :  232  :  254  :  204  ],Rx,PASSED,3307
5,[  0  :  9  :  60  :  168  ],Rx,PASSED,3320
7,[  255  :  255  :  255  :  234  ],Rx,PASSED,3338
8,[  255  :  255  :  255  :  238  ],Rx,PASSED,3351
9,[  0  :  0  :  3  :  230  ],Rx,PASSED,3363
10,[  255  :  255  :  255  :  224  ],Rx,PASSED,3376
11,[  255  :  255  :  254  :  179  ],Rx,PASSED,3389
12,[  255  :  255  :  255  :  101  ],Rx,PASSED,3408
3,[  255  :  159  :  250  :  76  ],Rx,PASSED,3422
4,[  255  :  232  :  254  :  204  ],Rx,PASSED,3433
5,[  0  :  9  :  60  :  168  ],Rx,PASSED,3442
7,[  255  :  255  :  255  :  234  ],Rx,PASSED,3455
8,[  255  :  255  :  255  :  238  ],Rx,PASSED,3466
9,[  0  :  0  :  3  :  230  ],Rx,PASSED,3483
10,[  255  :  255  :  255  :  224  ],Rx,PASSED,3491
11,[  255  :  255  :  254  :  179  ],Rx,PASSED,3507
12,[  255  :  255  :  255  :  101  ],Rx,PASSED,3516
13,[  127  :  175  :  235  :  251  ],Rx,PASSED,3526
14,[  64  :  15  :  244  :  6  ],Rx,PASSED,3541
15,[  127  :  191  :  236  :  0  ],Rx,PASSED,3551
3,[  255  :  157  :  250  :  104  ],Rx,PASSED,3579
4,[  255  :  238  :  254  :  148  ],Rx,PASSED,3595
5,[  0  :  11  :  60  :  32  ],Rx,PASSED,3602
7,[  255  :  255  :  255  :  236  ],Rx,PASSED,3610
8,[  255  :  255  :  255  :  234  ],Rx,PASSED,3624
9,[  0  :  0  :  3  :  222  ],Rx,PASSED,3637
10,[  255  :  255  :  255  :  102  ],Rx,PASSED,3644
11,[  0  :  0  :  0  :  33  ],Rx,PASSED,3656
12,[  255  :  255  :  255  :  223  ],Rx,PASSED,3665
3,[  255  :  158  :  250  :  184  ],Rx,PASSED,3679
4,[  255  :  241  :  254  :  228  ],Rx,PASSED,3688
5,[  0  :  13  :  60  :  100  ],Rx,PASSED,3702
7,[  255  :  255  :  255  :  241  ],Rx,PASSED,3710
8,[  255  :  255  :  255  :  239  ],Rx,PASSED,3724
9,[  0  :  0  :  3  :  226  ],Rx,PASSED,3735
10,[  255  :  255  :  255  :  163  ],Rx,PASSED,3747
11,[  0  :  0  :  0  :  216  ],Rx,PASSED,3760
12,[  0  :  0  :  0  :  89  ],Rx,PASSED,3774
3,[  255  :  163  :  250  :  108  ],Rx,PASSED,3784
4,[  255  :  244  :  254  :  220  ],Rx,PASSED,3799
5,[  0  :  12  :  60  :  120  ],Rx,PASSED,3808
7,[  255  :  255  :  255  :  236  ],Rx,PASSED,3821
8,[  255  :  255  :  255  :  239  ],Rx,PASSED,3830
9,[  0  :  0  :  3  :  227  ],Rx,PASSED,3844
10,[  0  :  0  :  0  :  212  ],Rx,PASSED,3854
11,[  0  :  0  :  1  :  143  ],Rx,PASSED,3869
12,[  0  :  0  :  0  :  28  ],Rx,PASSED,3882
